"Did u find a lower price?","Hai trovato un prezzo più basso?"
"Did u find this product at a lower price?","Hai trovato questo prodotto ad un prezzo più basso? Scrivici. Anche se non possiamo sempre adeguare i nostri prezzi a quelli segnalati, useremo il tuo feedback per cercare di migliorarli."
"URL:","Sito web:"
"Price:","Prezzo:"
"Shipping costs:","Costi di spedizione:"
"Price Date:","Data del prezzo:"
"Send feedback","Invia feedback"
"Everything ok","Feedback inviato!"
"Error sending the email","Si è verificato un errore durante l'invio del feedback."
"Online","Online"
"Offline","Offline"
"Report sent successfully","Grazie della segnalazione!"
"Error sending the report","Si è verificato un errore."
"Type","Tipo negozio"
"Shop name:","Nome negozio:"
"City:","Città:"
"Province:","Provincia:"